round,accuracy,auc,method,dataset,noise_type,alpha,noise_rate,noisy_fraction,seed,feature_set
48,0.7926236575997492,0.3957654523594296,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
49,0.7926236575997492,0.3965955300327055,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
50,0.7926236575997492,0.4001534245563322,fedavg,brfss,asymmetric,0.1,0.1,0.2,42,original
1,0.7926236575997492,0.5997123541256459,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
2,0.7926236575997492,0.6419636736355324,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
3,0.7926236575997492,0.6665704573285052,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
4,0.7926236575997492,0.6903582723935786,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
5,0.7926236575997492,0.6993253727417799,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
6,0.7926236575997492,0.7079507676600095,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
7,0.7926236575997492,0.7115192977082905,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
8,0.7925322045412976,0.7192438838337074,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
9,0.7935773823521727,0.7254409326060416,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
10,0.7938125473596196,0.729203966483302,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
11,0.7927020459355648,0.7307013605040604,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
12,0.7984635886180136,0.7368627685346273,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
13,0.793943194585979,0.7382778104481116,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
14,0.7987118183480965,0.7419602668823851,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
15,0.8060672571921298,0.7457365105340182,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
16,0.8066290402654752,0.7463445869468714,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
17,0.810692169005252,0.7475290512673688,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
18,0.8098168325886441,0.7487170981459662,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
19,0.8066943638786549,0.7466129247022288,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
20,0.8059627394110424,0.7509258989009767,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
21,0.809424890909566,0.7498518801737909,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
22,0.8091505317342113,0.752513124787268,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
23,0.8095424734132894,0.7506001166437304,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
24,0.8025789762483343,0.7492959938442805,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
25,0.8061064513600377,0.7530414981089955,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
26,0.8096077970264691,0.7524339253311216,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
27,0.8111755637427818,0.7562196155134887,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
28,0.8101565153771786,0.7587377945633396,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
29,0.8091244022889394,0.7572836508454369,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
30,0.8105615217788926,0.7608448735136168,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
31,0.8073998589009955,0.7542807496078522,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
32,0.809646991194377,0.7558400045419775,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
33,0.8095294086906535,0.7566356834269605,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
34,0.8095686028585614,0.757320111941088,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
35,0.8061717749732173,0.7555416615645066,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
36,0.809646991194377,0.7565811870069398,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
37,0.8101695800998144,0.7576448941973344,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
38,0.8091897259021191,0.7600122174369318,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
39,0.8061717749732173,0.7585427434856301,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
40,0.810065062318727,0.7602587265100245,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
41,0.8027749470878733,0.7596087061299938,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
42,0.8018734812259936,0.7602968459666278,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
43,0.8019910637297171,0.7612385488813318,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
44,0.8025136526351545,0.7618734913646649,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
45,0.8086932664419534,0.7634362281298939,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
46,0.8102087742677223,0.7641296400382588,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
47,0.810065062318727,0.7629247935582307,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
48,0.8069295288861017,0.762901377127753,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
49,0.8120117059914818,0.768583582186905,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
50,0.8133181782550757,0.7714486639720285,fedavg,brfss,asymmetric,0.1,0.1,0.2,123,original
1,0.7926236575997492,0.3408789831427422,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
2,0.7926236575997492,0.3338382595911152,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
3,0.7926236575997492,0.3455320760616711,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
4,0.7926236575997492,0.335629394819426,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
5,0.7926236575997492,0.3383036337345786,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
6,0.7926236575997492,0.3384191624067013,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
7,0.7926236575997492,0.3528689587879619,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
8,0.7926236575997492,0.3508439276871259,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
9,0.7926236575997492,0.3589965661616752,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
10,0.7926236575997492,0.3534976665817787,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
11,0.7926236575997492,0.3520070285387003,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
12,0.7926236575997492,0.3836055284653415,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
13,0.7926236575997492,0.3799049640171135,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
14,0.7926236575997492,0.410685313592894,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
15,0.7926236575997492,0.415108367860185,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
16,0.7926236575997492,0.4176042405533579,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
17,0.7926236575997492,0.402486336546565,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
18,0.7926236575997492,0.395361813326507,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
19,0.7926236575997492,0.4110520522773898,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
20,0.7926236575997492,0.4098519306203625,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
21,0.7926236575997492,0.4046390105580136,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
22,0.7926236575997492,0.4196137513894523,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
23,0.7926236575997492,0.4207799322025698,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
24,0.7926236575997492,0.4103627950979975,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
25,0.7926236575997492,0.4012090652796779,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
26,0.7926236575997492,0.4327958808748009,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
27,0.7926236575997492,0.4447357910493944,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
28,0.7926236575997492,0.4430783574085755,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
29,0.7926236575997492,0.4473209462825246,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
30,0.7926236575997492,0.4636838889175338,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
31,0.7926236575997492,0.4403456007817378,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
32,0.7926236575997492,0.443477603913741,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
33,0.7926236575997492,0.4433793291529532,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
34,0.7926236575997492,0.4401001747834562,fedavg,brfss,asymmetric,0.1,0.2,0.2,42,original
